SpectrumType,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1
0,-0.012453511,-2.108658,-0.012781677,-1.6471206,-0.42613596,-0.28242868,-0.012829873,-1.5319033,-0.7515329,0.04349347,-0.43981433,-0.24043436,-0.08094612,-0.78566504,BLL
1,-0.012009355,-1.8126653,-0.012173593,-1.7299324,-0.54588246,0.724473,-0.012212799,-1.4610436,-0.79620457,0.04349347,0.79377335,0.18576662,-0.03166887,-0.046573434,BLL
0,-0.012353047,-0.016169379,-0.012642514,-0.08645621,-0.4456295,-0.19796833,-0.012684105,0.019612456,-0.6064011,0.04349347,-0.18517187,-0.12160099,-0.06842897,0.6579882,BCU
0,-0.012010041,1.037517,-0.012187976,0.9770577,-0.58793306,-0.19688341,-0.0122330645,1.1365987,-0.8607625,0.04349347,-0.43981433,-0.0073036514,-0.0103549985,2.00373,BCU
2,-0.009277605,-0.27080753,-0.007853261,-0.6867219,0.5727556,1.7521845,-0.007816638,-0.588519,-0.008103724,0.04349347,1.8077008,0.48562607,-0.08102566,-0.78566504,NoAGN
1,-0.012263745,0.84548837,-0.01250076,0.5341122,0.10805444,-0.12058582,-0.012530116,0.37672308,0.05719294,0.04349347,-0.06322219,-0.16468698,-0.0780323,-0.5733683,BCU
1,-0.0123413745,-1.5022241,-0.012626174,-1.5374262,-0.38902292,0.26741114,-0.012671922,-1.2674017,-0.72161263,0.04349347,0.28154513,-0.072771534,-0.06525334,-0.014666755,BLL
1,-0.012425828,-0.5992805,-0.012736954,-0.7192192,0.48655763,-0.02474136,-0.012783002,-0.8017806,0.23894362,0.04349347,-0.0005838128,-0.21148613,-0.061692983,1.9670018,BLL
0,-0.012314265,1.0752649,-0.012583347,1.1207927,-0.38434446,-0.19473909,-0.012623404,1.1077292,-0.51739883,0.04349347,-0.25881323,-0.08086537,-0.06756114,0.9837455,BCU
1,-0.012297734,-1.7594517,-0.012577596,-1.5486345,-0.7381938,0.19304849,-0.012618956,-1.2889521,-0.86063963,0.04349347,0.29005536,0.29458565,0.08767272,0.71392846,BLL
0,-0.012426914,0.24750824,-0.012749449,0.3566879,-1.1173815,-0.4636594,-0.012794799,0.55809927,-0.95204043,0.04349347,-0.43981433,-0.18981497,-0.08247029,-0.78566504,BCU
0,-0.012257086,0.41485706,-0.012514448,0.38074142,-0.5946613,-0.25218457,-0.012552961,0.5025443,-0.72172177,0.04349347,-0.28183657,-0.11799036,-0.02456125,2.713446,BCU
0,-0.012383821,0.26993433,-0.012681831,0.16675305,-0.27546445,-0.21421014,-0.012724604,0.19621997,-0.41095844,0.04349347,-0.20342825,-0.15524016,-0.0760279,0.16849557,FSRQ
0,-0.012271343,-0.39621463,-0.012555348,-0.17178208,-1.0498446,-0.4636594,-0.012590344,0.07350398,-0.9726543,0.04349347,-0.43981433,-0.011819065,-0.050224047,0.57498413,BLL
0,-0.012302798,0.4914458,-0.012582942,0.47885457,-0.73616767,-0.35697597,-0.012617518,0.5913472,-0.71268356,0.04349347,-0.43981433,-0.152616,-0.07951477,-0.78566504,BLL
0,-0.012417101,-1.0725137,-0.012732074,-0.91345006,-0.6273701,-0.18514925,-0.01277817,-0.7519544,-0.75697064,0.04349347,-0.16553307,-0.1493284,-0.07707921,-0.18696757,BLL
1,-0.0058609624,-0.23051503,-0.0038410577,-0.27447477,-0.49562493,0.9782338,-0.003661946,-0.06969213,-0.73459107,0.04349347,0.90425676,1.0800416,2.10871,2.540812,FSRQ
1,-0.011490877,1.5440338,-0.011342807,0.98697215,0.56640023,-0.07080426,-0.011277417,0.9370691,0.5395319,0.04349347,-0.06491962,-0.12590407,-0.075522475,0.15779562,OtroAGN
0,-0.0101908855,1.5328108,-0.009687749,1.2765903,-0.47356156,-0.20268704,-0.009576909,1.3697728,-0.58119446,0.04349347,-0.20662786,-0.035316017,-0.074008256,-0.09625775,FSRQ
